timestamp,label,avance_archivo,contabilizadas,jee,no_ingresadas,pct_contabilizadas,pct_jee,pct_no_ingresadas,margen_observado_fp,fp_pct_observado
2026-06-07T17:54:00,07/06 17:54,0.001,2,0,92764,0.002155962313778755,0.0,99.99784403768622,59.0,0.5710843373493976
2026-06-07T19:58:00,07/06 19:58,12.99,14565,179,78022,15.700795550093785,0.19295862708319858,84.10624582282303,158952.0,0.5258199916831271
2026-06-07T20:58:00,07/06 20:58,38.342,36237,548,55981,39.062803182200376,0.5907336739753789,60.346463143824245,414041.0,0.526978328903635
2026-06-07T21:54:00,07/06 21:54,53.412,50193,860,41713,54.10710820774853,0.9270637949248647,44.965827997326606,563426.0,0.5265189019177261
2026-06-07T22:38:00,07/06 22:38,61.348,57251,1036,34479,61.715499213073755,1.1167884785373952,37.16771230838885,649707.0,0.5268891504336776
2026-06-08T00:08:00,08/06 00:08,74.795,69587,1311,21868,75.01347476446112,1.413233296681974,23.573291938856908,669665.0,0.5230438715342143
2026-06-08T00:54:00,08/06 00:54,79.569,74055,1377,17334,79.82989457344286,1.4843800530366729,18.68572537352047,559604.0,0.5182091701975153
2026-06-08T01:42:00,08/06 01:42,84.046,78046,1435,13285,84.13211737058836,1.5469029601362567,14.32097966927538,413214.0,0.5128385158333431
2026-06-08T06:05:00,08/06 06:05,92.177,85488,1506,5772,92.1544531401591,1.6234396222754026,6.222107237565487,81359.0,0.5023448428990708
2026-06-08T08:38:00,08/06 08:38,93.051,86326,1512,4928,93.05780134963241,1.6299075092167388,5.312291141150852,29552.0,0.5008456454410577
2026-06-08T10:20:00,08/06 10:20,93.39,86630,1513,4623,93.38550762132678,1.6309854903736283,4.983506888299592,15459.0,0.5004413470371794
2026-06-08T13:30:00,08/06 13:30,94.102,87294,1517,3955,94.10128710950133,1.6352974150011856,4.263415475497488,-11051.0,0.4996860561844375
2026-06-08T16:28:00,08/06 16:28,94.714,87864,1523,3379,94.71573636892828,1.641765301942522,3.642498329129207,-27719.0,0.4992159046080165
2026-06-08T16:58:00,08/06 16:58,94.781,87925,1523,3318,94.78149321949853,1.641765301942522,3.576741478558955,-30439.0,0.4991391479558589
2026-06-09T08:55:00,09/06 08:55,95.844,88911,1541,2314,95.84438264019145,1.6611689627665307,2.4944483970420195,-23282.0,0.4993457286495426
2026-06-09T09:58:00,09/06 09:58,95.942,89014,1547,2205,95.95541469935107,1.667636849707867,2.3769484509410774,-20033.0,0.49943728593453035
2026-06-09T10:58:00,09/06 10:58,95.966,89024,1547,2195,95.96619451091995,1.667636849707867,2.3661686393721837,-19689.0,0.49944697669639737
2026-06-09T12:35:00,09/06 12:35,95.979,89036,1547,2183,95.97913028480262,1.667636849707867,2.3532328654895114,-20221.0,0.4994320856630853
2026-06-09T15:30:00,09/06 15:30,96.025,89079,1548,2139,96.02548347454886,1.6687148308647566,2.305801694586379,-20363.0,0.49942825914329114
2026-06-09T21:32:00,09/06 21:32,96.512,89530,1546,1690,96.51165297630597,1.6665588685509776,1.821788155143048,-40605.0,0.49886392295503473
2026-06-10T09:58:00,10/06 09:58,97.541,90498,1610,658,97.5551387361749,1.7355496625918978,0.7093116012332104,-15099.0,0.4995804967525242
